"Frequency, Hz - Peaks"	Magnitude (V) - Peaks	"Frequency, Hz - Signal"	Magnitude (V) - Signal
		523.22k	143.1182u
		523.28k	146.0102u
		523.34k	153.9732u
		523.4k	153.0231u
		523.46k	158.5701u
		523.52k	155.7465u
		523.58k	156.4758u
		523.64k	154.5935u
		523.7k	160.7736u
		523.76k	160.6245u
		523.82k	152.037u
		523.88k	154.6831u
		523.94k	161.7315u
		524k	168.4321u
		524.06k	163.7898u
		524.12k	154.2986u
		524.18k	160.1948u
		524.24k	156.893u
		524.3k	162.7216u
		524.36k	159.0806u
		524.42k	167.7796u
		524.48k	166.4097u
		524.54k	161.6055u
		524.6k	166.1627u
		524.66k	165.8852u
		524.72k	170.6669u
		524.78k	168.2926u
		524.84k	162.4964u
		524.9k	164.9557u
		524.96k	158.8566u
		525.02k	164.6282u
		525.08k	164.9299u
		525.14k	172.1852u
		525.2k	170.4531u
		525.26k	171.5977u
		525.32k	177.5226u
		525.38k	167u
		525.44k	170.5257u
		525.5k	177.9199u
		525.56k	175.2015u
		525.62k	169.8605u
		525.68k	169.9045u
		525.74k	176.9693u
		525.8k	177.0102u
		525.86k	176.6807u
		525.92k	176.3342u
		525.98k	164.2855u
		526.04k	178.3744u
		526.1k	180.4968u
		526.16k	176.2738u
		526.22k	172.0365u
		526.28k	172.5305u
		526.34k	171.7583u
		526.4k	181.744u
		526.46k	186.6576u
		526.52k	188.2237u
		526.58k	183.1975u
		526.64k	189.4609u
		526.7k	185.6051u
		526.76k	182.1427u
		526.82k	188.9684u
		526.88k	181.4912u
		526.94k	181.0122u
		527k	183.2858u
		527.06k	178.9372u
		527.12k	186.755u
		527.18k	183.1697u
		527.24k	189.5554u
		527.3k	191.4206u
		527.36k	189.4173u
		527.42k	191.7936u
		527.48k	190.5618u
		527.54k	196.1486u
		527.6k	198.3097u
		527.66k	196.5283u
		527.72k	187.7367u
		527.78k	184.8996u
		527.84k	194.6431u
		527.9k	199.0158u
		527.96k	188.7833u
		528.02k	189.7505u
		528.08k	196.4462u
		528.14k	197.6808u
		528.2k	199.6271u
		528.26k	205.0764u
		528.32k	207.4623u
		528.38k	199.3624u
		528.44k	200.4136u
		528.5k	207.7995u
		528.56k	211.3114u
		528.62k	205.9702u
		528.68k	202.0928u
		528.74k	198.3296u
		528.8k	201.1243u
		528.86k	202.1086u
		528.92k	205.5676u
		528.98k	205.5927u
		529.04k	203.9092u
		529.1k	199.159u
		529.16k	205.8135u
		529.22k	204.8669u
		529.28k	202.7426u
		529.34k	206.0645u
		529.4k	210.7969u
		529.46k	214.2443u
		529.52k	209.5462u
		529.58k	214.3667u
		529.64k	205.0275u
		529.7k	213.7532u
		529.76k	206.6096u
		529.82k	209.464u
		529.88k	214.2257u
		529.94k	218.1701u
		530k	213.4777u
		530.06k	206.1831u
		530.12k	201.5165u
		530.18k	209.5527u
		530.24k	216.8019u
		530.3k	217.153u
		530.36k	214.1146u
		530.42k	212.0933u
		530.48k	216.6264u
		530.54k	209.4249u
		530.6k	202.1623u
		530.66k	205.7024u
		530.72k	206.7438u
		530.78k	207.7949u
		530.84k	208.3975u
		530.9k	218.8012u
		530.96k	207.9536u
		531.02k	205.9259u
		531.08k	214.3968u
		531.14k	216.3697u
		531.2k	218.7392u
		531.26k	211.9487u
		531.32k	211.1182u
		531.38k	219.1846u
		531.44k	221.8106u
		531.5k	214.6912u
		531.56k	211.407u
		531.62k	208.3121u
		531.68k	215.5092u
		531.74k	222.814u
		531.8k	216.0841u
		531.86k	220.4977u
		531.92k	226.9991u
		531.98k	218.0032u
		532.04k	216.7697u
		532.1k	226.6965u
		532.16k	216.8657u
		532.22k	217.0034u
		532.28k	226.0772u
		532.34k	209.0795u
		532.4k	228.0534u
		532.46k	223.2257u
		532.52k	214.4375u
		532.58k	214.1778u
		532.64k	212.6967u
		532.7k	207.7763u
		532.76k	215.5519u
		532.82k	228.3573u
		532.88k	218.4773u
		532.94k	220.5039u
		533k	217.8638u
		533.06k	222.3689u
		533.12k	231.5063u
		533.18k	225.6751u
		533.24k	224.5311u
		533.3k	234.8539u
		533.36k	226.4691u
		533.42k	229.3215u
		533.48k	226.898u
		533.54k	234.1916u
		533.6k	228.5763u
		533.66k	235.304u
		533.72k	239.6925u
		533.78k	246.9787u
		533.84k	244.3631u
		533.9k	227.088u
		533.96k	237.6706u
