"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
,,115.08k,58.98558u
,,115.1k,64.06562u
,,115.12k,68.96569u
,,115.14k,70.91127u
,,115.16k,69.87877u
,,115.18k,69.2787u
,,115.2k,70.89582u
,,115.22k,74.53591u
,,115.24k,80.40264u
,,115.26k,87.28394u
,,115.28k,92.6103u
,,115.3k,96.65335u
,,115.32k,102.8687u
,,115.34k,108.1741u
,,115.36k,108.5924u
,,115.38k,109.2196u
,,115.4k,110.5149u
,,115.42k,112.1443u
,,115.44k,117.1763u
,,115.46k,120.887u
,,115.48k,122.8921u
,,115.5k,127.5599u
,,115.52k,130.7951u
,,115.54k,129.7728u
,,115.56k,130.9499u
,,115.58k,135.588u
,,115.6k,136.2672u
,,115.62k,134.2667u
,,115.64k,134.3189u
,,115.66k,135.48u
,,115.68k,133.059u
,,115.7k,127.0037u
,,115.72k,124.3453u
,,115.74k,125.9059u
,,115.76k,126.5482u
,,115.78k,124.4863u
,,115.8k,120.448u
,,115.82k,116.8223u
,,115.84k,115.7691u
,,115.86k,116.4568u
,,115.88k,118.1238u
,,115.9k,120.7441u
,,115.92k,120.9534u
,,115.94k,116.3448u
,,115.96k,112.6766u
,,115.98k,111.4939u
,,116k,109.5402u
,,116.02k,106.0237u
,,116.04k,103.715u
,,116.06k,107.0805u
,,116.08k,108.8621u
,,116.1k,104.6251u
,,116.12k,101.425u
,,116.14k,100.0606u
,,116.16k,102.2628u
,,116.18k,110.5213u
,,116.2k,116.9777u
,,116.22k,112.7568u
,,116.24k,102.6028u
,,116.26k,97.43386u
,,116.28k,96.15546u
,,116.3k,97.11616u
,,116.32k,98.77549u
,,116.34k,95.4919u
,,116.36k,94.15129u
,,116.38k,98.57252u
,,116.4k,99.16213u
,,116.42k,95.43543u
,,116.44k,94.87836u
,,116.46k,94.85876u
,,116.48k,90.92507u
,,116.5k,89.9433u
,,116.52k,93.35872u
,,116.54k,94.00768u
,,116.56k,94.25463u
,,116.58k,96.10764u
,,116.6k,94.31115u
,,116.62k,89.30378u
,,116.64k,86.30402u
,,116.66k,87.13503u
,,116.68k,88.66843u
,,116.7k,88.24555u
,,116.72k,87.46323u
,,116.74k,85.45347u
,,116.76k,80.98467u
,,116.78k,78.01046u
,,116.8k,79.40043u
,,116.82k,81.41339u
,,116.84k,83.24564u
,,116.86k,88.50666u
,,116.88k,92.93157u
,,116.9k,92.95104u
,,116.92k,92.69105u
,,116.94k,96.40245u
,,116.96k,102.4515u
,,116.98k,107.7194u
,,117k,110.3066u
,,117.02k,111.6185u
,,117.04k,116.6459u
,,117.06k,122.9719u
,,117.08k,129.3797u
,,117.1k,136.273u
,,117.12k,142.2252u
,,117.14k,152.5472u
,,117.16k,167.717u
,,117.18k,180.0147u
,,117.2k,187.6376u
,,117.22k,196.2132u
,,117.24k,211.3068u
,,117.26k,229.6249u
,,117.28k,243.9505u
,,117.3k,257.9587u
,,117.32k,276.6706u
,,117.34k,296.2815u
,,117.36k,314.3375u
,,117.38k,336.744u
,,117.4k,365.6434u
,,117.42k,391.3787u
,,117.44k,410.4612u
,,117.46k,430.0862u
,,117.48k,453.5542u
,,117.5k,477.3945u
,,117.52k,498.0223u
,,117.54k,515.7602u
,,117.56k,529.8851u
,,117.58k,540.1193u
,,117.6k,546.8193u
,,117.62k,550.35u
,,117.64k,555.087u
,,117.66k,557.1681u
,,117.68k,549.1536u
,,117.7k,537.9438u
,,117.72k,532.0598u
,,117.74k,528.6488u
,,117.76k,521.9746u
,,117.78k,510.9307u
,,117.8k,497.3421u
,,117.82k,482.8192u
,,117.84k,469.5601u
,,117.86k,460.9389u
,,117.88k,459.7835u
,,117.9k,460.9194u
,,117.92k,456.9163u
,,117.94k,449.824u
,,117.96k,442.1336u
,,117.98k,434.6552u
,,118k,429.0686u
,,118.02k,424.3368u
,,118.04k,418.5508u
,,118.06k,411.4356u
,,118.08k,403.9774u
,,118.1k,396.3091u
,,118.12k,392.7534u
,,118.14k,394.763u
,,118.16k,393.7726u
,,118.18k,388.5134u
,,118.2k,384.7868u
,,118.22k,382.7199u
,,118.24k,382.219u
,,118.26k,384.3921u
,,118.28k,385.6347u
,,118.3k,382.1481u
,,118.32k,376.0662u
,,118.34k,372.4528u
,,118.36k,371.2018u
,,118.38k,369.1534u
,,118.4k,367.7036u
,,118.42k,366.6705u
,,118.44k,363.0037u
,,118.46k,358.9632u
,,118.48k,359.5948u
,,118.5k,362.6212u
,,118.52k,364.8546u
,,118.54k,367.3581u
,,118.56k,369.1833u
,,118.58k,367.1982u
,,118.6k,361.4604u
,,118.62k,356.9214u
,,118.64k,356.7691u
,,118.66k,356.869u
,,118.68k,355.6421u
,,118.7k,357.4411u
,,118.72k,360.8072u
,,118.74k,364.5232u
,,118.76k,367.0595u
,,118.78k,362.9543u
,,118.8k,356.1982u
,,118.82k,354.537u
,,118.84k,356.3673u
,,118.86k,360.546u
,,118.88k,367.2546u
,,118.9k,370.5826u
,,118.92k,368.4943u
,,118.94k,367.2433u
,,118.96k,368.4549u
,,118.98k,365.7585u
,,119k,360.6219u
,,119.02k,360.0143u
,,119.04k,362.2554u
,,119.06k,364.4435u
,,119.08k,367.6943u
,,119.1k,370.0583u
,,119.12k,368.7315u
,,119.14k,365.8351u
,,119.16k,365.0746u
,,119.18k,366.5221u
,,119.2k,369.1985u
,,119.22k,371.5706u
,,119.24k,373.6274u
,,119.26k,378.4783u
,,119.28k,384.207u
,,119.3k,386.6289u
,,119.32k,386.4411u
,,119.34k,386.6007u
,,119.36k,387.4687u
,,119.38k,386.6552u
,,119.4k,385.5495u
,,119.42k,387.1686u
,,119.44k,389.088u
,,119.46k,389.5515u
,,119.48k,389.1527u
,,119.5k,389.5964u
,,119.52k,393.3745u
,,119.54k,398.8014u
,,119.56k,402.0628u
,,119.58k,402.1321u
,,119.6k,400.9368u
,,119.62k,404.4684u
,,119.64k,414.3233u
,,119.66k,422.7318u
,,119.68k,424.7983u
,,119.7k,422.6744u
,,119.72k,419.4452u
,,119.74k,417.6443u
,,119.76k,419.1656u
,,119.78k,424.3572u
,,119.8k,431.0232u
,,119.82k,437.4923u
,,119.84k,443.4899u
,,119.86k,447.6477u
,,119.88k,447.0838u
,,119.9k,444.7968u
,,119.92k,449.0643u
,,119.94k,457.2352u
,,119.96k,461.268u
,,119.98k,462.2433u
,,120k,464.3776u
,,120.02k,464.5749u
,,120.04k,462.3357u
,,120.06k,464.1792u
,,120.08k,470.8085u
,,120.1k,478.7559u
,,120.12k,485.7989u
,,120.14k,491.7916u
,,120.16k,496.9344u
,,120.18k,502.7363u
,,120.2k,508.1837u
,,120.22k,507.8279u
,,120.24k,504.0642u
,,120.26k,501.0736u
,,120.28k,500.7083u
,,120.3k,507.4147u
,,120.32k,514.0921u
,,120.34k,515.1399u
,,120.36k,517.3689u
,,120.38k,522.0522u
,,120.4k,528.0501u
,,120.42k,535.0259u
,,120.44k,538.673u
,,120.46k,539.4733u
,,120.48k,543.4905u
,,120.5k,548.1765u
,,120.52k,547.7821u
,,120.54k,548.5133u
,,120.56k,556.0335u
,,120.58k,564.6902u
,,120.6k,570.3983u
,,120.62k,574.0782u
,,120.64k,574.5952u
,,120.66k,574.5183u
,,120.68k,578.2937u
,,120.7k,584.3101u
,,120.72k,590.9508u
,,120.74k,596.7757u
,,120.76k,598.1496u
,,120.78k,596.3076u
,,120.8k,598.0997u
,,120.82k,605.9208u
,,120.84k,616.9114u
,,120.86k,625.6365u
,,120.88k,629.5011u
,,120.9k,632.1165u
,,120.92k,637.2122u
,,120.94k,646.7098u
,,120.96k,655.1016u
,,120.98k,657.8123u
,,121k,656.7888u
,,121.02k,657.2147u
,,121.04k,664.3676u
,,121.06k,672.2826u
,,121.08k,676.5871u
,,121.1k,679.7764u
,,121.12k,681.9599u
,,121.14k,685.6906u
,,121.16k,693.1424u
,,121.18k,700.3869u
,,121.2k,702.676u
